Is left blocked?,Is front blocked?,Is right blocked?,Orthogonal angle to food,Suggested direction,Decision
0,0,0,-0.897654213312,0,0.99
0,0,0,-0.914487052439,-1,0.0
0,0,0,0.0832885694571,-1,0.0
0,0,0,0.0996968993199,1,0.0
0,0,0,0.0971806293841,-1,0.0
0,0,0,0.113062126738,0,0.0
0,0,0,0.128802728544,1,0.0
0,0,0,0.125666696697,-1,0.0
0,0,0,0.14089384001,-1,0.99
0,0,0,-0.85561467974,1,0.0
0,0,0,0.159793889904,0,0.0
0,0,0,0.175013597717,0,0.0
0,0,0,0.190030828934,1,0.0
0,0,0,0.185547666297,1,0.99
0,0,0,-0.829152205874,1,0.99
0,0,0,-0.824986402283,1,0.0
0,0,0,0.190030828934,0,0.0
0,0,0,0.204833229276,1,0.0
0,0,0,0.200046705794,0,0.0
0,0,0,0.195471850828,0,0.0
0,0,0,0.191095370255,1,0.99
0,0,0,-0.822828424331,0,0.99
0,0,0,-0.836928405278,0,0.99
0,0,0,-0.851193850097,-1,0.0
0,0,0,0.145466098564,0,0.0
0,0,0,0.142270243735,-1,0.0
0,0,0,0.155958822219,-1,0.99
0,0,0,-0.840562416612,0,0.99
0,0,0,-0.836928405278,0,0.99
0,0,0,-0.833128767345,0,0.99
0,0,0,-0.829152205874,-1,0.99
0,0,0,-0.844041121635,0,0.99
0,0,0,-0.85910615999,1,0.99
0,0,0,-0.85561467974,1,0.0
0,0,0,0.159793889904,-1,0.99
0,0,0,-0.836182019493,1,0.0
0,0,0,0.179382097924,0,0.0
0,0,0,0.194729043376,0,0.0
0,0,0,0.209845878562,0,0.0
0,0,0,3.8936696,0,0.99
0,0,0,3.910043,0,0.99
0,0,0,3.9269907,-1,0.99
0,0,0,2.3386524,0,0.99
0,0,0,2.3204954,1,0.99
0,0,0,3.9088109,1,0.0
0,0,0,3.9269907,1,0.0
0,0,0,2.3386524,-1,0.0
0,0,0,3.9269907,1,0.0
0,0,0,2.3392467,1,0.99
0,0,0,2.3217254,0,0.99
0,0,0,2.3036113,-1,0.0
0,0,0,2.2873378,0,0.0
0,0,0,2.2716508,1,0.99
0,0,0,2.2531128,0,0.99
0,0,0,2.2339993,0,0.99
0,0,0,2.2142973,0,0.99
0,0,0,2.1939955,-1,0.0
0,0,0,2.1794856,0,0.0
0,0,0,2.1655555,-1,0.0
0,0,0,3.7562554,1,0.0
0,0,0,2.17187,0,0.0
0,0,0,2.158799,-1,0.0
0,0,0,3.7485802,0,0.0
0,0,0,3.7670772,0,0.0
0,0,0,3.7850935,-1,0.99
0,0,0,3.7986674,0,0.99
0,0,0,3.8127363,1,0.0
0,0,0,3.8305168,0,0.0
0,0,0,3.8477914,0,0.0
0,0,0,3.8645718,1,0.0
0,0,0,2.2794223,-1,0.0
0,0,0,3.8664584,0,0.0
0,0,0,3.8822446,-1,0.99
0,0,0,3.896697,1,0.0
0,0,0,3.9120662,-1,0.99
0,0,0,3.9269907,-1,0.99
0,0,0,2.3408108,-1,0.0
0,0,0,2.3259006,-1,0.0
0,0,0,3.9120662,1,0.0
0,0,0,2.3267913,0,0.0
0,0,0,2.3127437,1,0.99
0,0,0,2.2974386,1,0.99
0,0,0,3.8822446,1,0.0
0,0,0,3.8975873,0,0.0
0,0,0,3.9124987,1,0.0
0,0,0,2.3276305,0,0.0
0,0,0,2.313966,1,0.99
0,0,0,2.2991135,1,0.99
0,0,0,3.88354,0,0.99
0,0,0,3.8975873,0,0.99
0,0,0,3.9120662,1,0.0
0,0,0,3.9269907,-1,0.99
0,0,0,3.9419148,-1,0.99
0,0,0,2.3561945,1,0.99
0,0,0,3.942374,1,0.0
0,0,0,3.9572842,1,0.0
0,0,0,2.3711188,1,0.99
0,0,0,2.3561945,0,0.99
0,0,0,2.3408108,1,0.99
0,0,0,3.9269907,0,0.99
0,0,0,3.9428623,-1,0.99
0,0,0,2.3561945,1,0.99
0,0,0,3.9433827,0,0.99
0,0,0,3.9603117,0,0.99
0,0,0,3.9777944,-1,0.99
0,0,0,2.3906634,1,0.99
